"","Index","STAT_422_ID_NUMBER","Full.Address","URL","Model","Street.Address","X","Style","Maintenance","Zip","City","GRAND.LARCENY.5.YR_AVG","listing_price_to_nearest_1000","Parking.Charges","Baths.Full","GRAND.LARCENY.1.YR_AVG","Total.Taxes","GRAND.LARCENY.3.YR_AVG","Fuel","high_schools","Kitchen.Type","walk_score","dogs_allowed","TOTAL.SEVEN.MAJOR.FELONY.OFFENSES.3.YR_AVG","TOTAL.SEVEN.MAJOR.FELONY.OFFENSES.1.YR_AVG","RAPE.5.YR_AVG","Common.Charges","GRAND.LARCENY.OF.MOTOR.VEHICLE.3.YR_AVG","MURDER...NON.NEGL..MANSLAUGHTER.3.YR_AVG","Bedrooms","ROBBERY.1.YR_AVG","FELONY.ASSAULT.5.YR_AVG","MURDER...NON.NEGL..MANSLAUGHTER.1.YR_AVG","Approx.Year.Built","GRAND.LARCENY.OF.MOTOR.VEHICLE.5.YR_AVG","YTD.Enrollment.2011","School","Approx..Interior.Sqft","FELONY.ASSAULT.3.YR_AVG","FELONY.ASSAULT.1.YR_AVG","Deductible..","NOV.Count","BURGLARY.5.YR_AVG","middle_schools1","GRAND.LARCENY.OF.MOTOR.VEHICLE.1.YR_AVG","Total.Rooms","Construction","Beds","BURGLARY.1.YR_AVG","YTD.Attendance.2011","MURDER...NON.NEGL..MANSLAUGHTER.5.YR_AVG","RAPE.3.YR_AVG","Baths.Half","Garage","ROBBERY.5.YR_AVG","ROBBERY.3.YR_AVG","X..Floors.In.Building","RAPE.1.YR_AVG","elem_schools","BURGLARY.3.YR_AVG","cats_allowed","TOTAL.SEVEN.MAJOR.FELONY.OFFENSES.5.YR_AVG","Sold.Price"
"1",384,NA,"34-20 Parsons Blvd, Flushing NY, 11354","http://www.mlsli.com/homes-for-sale/34-20-Parsons-Blvd-Flushing-NY-11354-174526765","","34-20 Parsons",NA,"Co-op",685,"11354","Flushing",839,NA,82,"1",936,1814,908,"OIL","Flushing High School (Q460)","Unspecified",97,"N",2019,1874,20,533,198,3,"2",190,256,3,1954,219,34371,"25",468,261,236,25,0,418,"Q185",164,4,"Brick",2,324,"91.90%",4,24,"0","NO",225,203,"6",21,"P.S. 021 Edward Hart (Q021)",419,"N",1985,235000
"2",504,NA,"43-55 Kissena Blvd, Flushing NY, 11355","","1 Bedroom","43-55 Kissena Blvd",NA,"Co-op",834,"11355","Flushing",839,NA,181,"1",936,3364,908,"GAS","John Bowne High School (Q425)","Unspecified",94,"N",2019,1874,20,0,198,3,"1",190,256,3,1956,219,34371,"25",185,261,236,39,2,418,"Q237",164,5,"Brick",1,324,"91.90%",4,24,"0","NO",225,203,"11",21,"P.S. 020 John Bowne (Q020)",419,"N",1985,265000
"3",618,NA,"144-35 Sanford Ave, Flushing NY, 11355","","Sanford Equities","144-35 Sanford Ave",NA,"Co-op",805,"11355","Flushing",839,NA,130,"1",936,881,908,"GAS","Flushing High School (Q460)","Unspecified",90,"N",2019,1874,20,377,198,3,"2",190,256,3,1950,219,34371,"25",459,261,236,43,0,418,"Q189",164,4,"Brick",2,324,"91.90%",4,24,"0","NO",225,203,"6",21,"P.S. 022 Thomas Jefferson (Q022)",419,"N",1985,275000
"4",656,181,"144-58 Sandford Ave, Flushing NY, 11355","http://www.mlsli.com/homes-for-sale/73-12-35th-Ave-Jackson-Heights-NY-11372-193314776","","144-58 Sandford",NA,"Co-op",441,"11355","Flushing",839,279,155,"1",936,1814,908,"GAS","John Bowne High School (Q425)","Unspecified",93,"N",2019,1874,20,588,198,3,"1",190,256,3,1940,219,39742,"30",483,261,236,43,0,418,"Q189",164,1,"Brick",1,324,"92.79%",4,24,"0","NO",225,203,"6",21,"P.S. 020 John Bowne (Q020)",419,"Y",1985,NA
"5",678,NA,"133-36 41st Rd, Flushing NY, 11355","http://www.mlsli.com/homes-for-sale/133-36-41st-Rd-Flushing-NY-11355-180936792","Main Street Plaza","133-36 41st",NA,"Condo",712,"11355","Flushing",839,NA,155,"1",936,4613,908,"GAS","John Bowne High School (Q425)","Unspecified",97,"Y",2019,1874,20,373,198,3,"1",190,256,3,1987,219,34371,"25",390,261,236,43,0,418,"Q189",164,3,"Brick",1,324,"91.90%",4,24,"0","NO",225,203,"15",21,"P.S. 020 John Bowne (Q020)",419,"Y",1985,328000
"6",789,NA,"9-20 166th St, Beechhurst NY, 11357","","0","9-20 166 St",NA,"Co-op",1104,"11357","Beechhurst",839,NA,60,"1",936,3433,908,"OIL","Bayside High School (Q495)","Unspecified",49,"N",2019,1874,20,435,198,3,"2",190,256,3,1958,219,34371,"25",75,261,236,39,1,418,"Q194",164,4,"Cinder",2,324,"91.90%",4,24,"0","NO",225,203,"8",21,"P.S. 193 Alfred J. Kennedy (Q193)",419,"Y",1985,285000
"7",1016,NA,"18915 39th Ave, Flushing NY, 11358","","Utopia","18915 39th Ave",NA,"Co-op",721,"11358","Flushing",839,NA,57,"1",936,2466,908,"GAS","Francis Lewis High School (Q430)","Unspecified",83,"N",2019,1874,20,337,198,3,"1",190,256,3,1950,219,34371,"25",382,261,236,42,0,418,"Q025",164,4,"Brick",1,324,"91.90%",4,24,"0","NO",225,203,"2",21,"P.S. 032 State Street (Q032)",419,"N",1985,151000
"8",1267,NA,"17-85 215th St, Bayside NY, 11360","","Towers At Waters Ed>","17-85 215th St",NA,"Co-op",949,"11360","Bayside",839,NA,135,"1",936,4205,908,"GAS","Bayside High School (Q495)","Unspecified",71,"Y",2019,1874,20,75,198,3,"1",190,256,3,1970,219,31988,"26",150,261,236,40,0,418,"Q025",164,3,"Brick",1,324,"93.34%",4,24,"0","NO",225,203,"17",21,"P.S. 169 Bay Terrace (Q169)",419,"Y",1985,262500
"9",1268,NA,"205-28 Brian Crescent, Bayside NY, 11360","","Austin","205-28 Brian Crescent",NA,"Condo",1101,"11360","Bayside",839,NA,63,"1",936,3300,908,"GAS","Bayside High School (Q495)","Unspecified",74,"Y",2019,1874,20,500,198,3,"1",190,256,3,1983,219,34371,"25",364,261,236,41,1,418,"Q194",164,4,"Brick",1,324,"91.90%",4,24,"0","NO",225,203,"3",21,"P.S. 209 Clearview Gardens (Q209)",419,"Y",1985,470000
"10",1269,NA,"13-31 Michael Pl, Bayside NY, 11360","","Austin","13-31 Michael Pl",NA,"Condo",353,"11360","Bayside",839,NA,0,"2",936,5084,908,"GAS","Bayside High School (Q495)","Unspecified",74,"Y",2019,1874,20,564,198,3,"3",190,256,3,1986,219,34371,"25",47,261,236,41,0,418,"Q194",164,6,"Brick",3,324,"91.90%",4,24,"0","NO",225,203,"3",21,"P.S. 209 Clearview Gardens (Q209)",419,"Y",1985,655000
"11",1441,NA,"220-55 46th Ave, Bayside NY, 11361","","N Line","220-55 46th Ave",NA,"Co-op",532,"11361","Bayside",419,NA,62,"1",408,2329,439,"GAS","Bayside High School (Q495)","Unspecified",68,"N",862,797,4,328,82,0,"1",55,60,0,1961,90,31988,"26",375,63,58,41,0,219,"Q158",72,3,"Brick",1,198,"93.34%",0,3,"0","NO",64,57,"15",6,"P.S. 203 Oakland Gardens (Q203)",216,"Y",859,155000
"12",1631,NA,"242-50 Horace Harding Expy, Douglaston NY, 11362","","1 Bedroom","242-50 Horace Harding Expy",NA,"Co-op",813,"11362","Douglaston",419,NA,0,"1",408,3554,439,"GAS","Benjamin N. Cardozo High School (Q415)","Unspecified",78,"N",862,797,4,731,82,0,"1",55,60,0,1950,90,31988,"26",493,63,58,36,0,219,"Q067",72,3,"Brick",1,198,"93.34%",0,3,"0","NO",64,57,"2",6,"P.S. 221 The North Hills School (Q221)",216,"Y",859,152000
"13",1632,NA,"68-19 242 St, Douglaston NY, 11362","","2 Bedroom","68-19 242 St",NA,"Condo",798,"11362","Douglaston",419,NA,42,"1",408,2000,439,"GAS","Benjamin N. Cardozo High School (Q415)","Unspecified",49,"Y",862,797,4,317,82,0,"2",55,60,0,1984,90,31988,"26",26,63,58,36,1,219,"Q067",72,6,"Brick",2,198,"93.34%",0,3,"1","NO",64,57,"3",6,"P.S. 221 The North Hills School (Q221)",216,"Y",859,408000
"14",1680,NA,"63-11 Douglaston Pky, Douglaston, NY 11362","http://www.mlsli.com/homes-for-sale/63-11-Douglaston-Pky-Douglaston-NY-11362-183367574","Lr 3","63-11 Douglaston",NA,"Condo",798,"11362","Douglaston",419,NA,0,"2",408,4200,439,"GAS","Benjamin N. Cardozo High School (Q415)","Unspecified",65,"N",862,797,4,324,82,0,"3",55,60,0,1971,90,31988,"26",189,63,58,36,0,219,"Q067",72,6,"Brick",3,198,"93.34%",0,3,"1","YES",64,57,"3",6,"P.S. 221 The North Hills School (Q221)",216,"N",859,687000
"15",1938,NA,"213-06 75th Ave, Bayside NY, 11364","","Hi Rise","213-06 75th Ave",NA,"Co-op",681,"11364","Bayside",419,NA,47,"1",408,415,439,"GAS","Martin Van Buren High School (Q435)","Unspecified",61,"Y",862,797,4,265,82,0,"1",55,60,0,1955,90,31988,"26",411,63,58,50,0,219,"Q074",72,3,"Brick",1,198,"93.34%",0,3,"0","NO",64,57,"6",6,"P.S. 205 Alexander Graham Bell (Q205)",216,"Y",859,187500
"16",1939,NA,"219-45 67th Ave, Bayside NY, 11364","","3Brs/2Bath","219-45 67 Ave",NA,"Condo",692,"11364","Bayside",419,NA,0,"2",408,3421,439,"GAS","Benjamin N. Cardozo High School (Q415)","Unspecified",75,"Y",862,797,4,289,82,0,"3",55,60,0,1983,90,31988,"26",19,63,58,49,2,219,"Q074",72,6,"Brick",3,198,"93.34%",0,3,"0","NO",64,57,"3",6,"P.S. 046 Alley Pond (Q046)",216,"Y",859,603000
"17",1967,743,"74-47 220th St, Oakland Gardens NY, 11364","http://www.mlsli.com/homes-for-sale/54-44-Little-Neck-Pky-Little-Neck-NY-11362-192924313","indsor Oaks","74-47 220th",NA,"Co-op",677,"11364","Gardens",419,270,100,"1",408,2969,439,"GAS","Benjamin N. Cardozo High School (Q415)","Unspecified",70,"N",862,797,4,0,82,0,"2",55,60,0,1961,90,31988,"26",502,63,58,50,0,219,"Q074",72,5,"Brick",2,198,"93.34%",0,3,"0","NO",64,57,"2",6,"P.S. 205 Alexander Graham Bell (Q205)",216,"Y",859,NA
"18",1977,372,"226-30 Kingsbury, Bayside NY, 11364","http://www.mlsli.com/homes-for-sale/241-20-Northern-Blvd-Douglaston-NY-11362-188966814","","226-30 Kingsbury,",NA,"Co-op",692,"11364","Bayside",419,299,51,"1",408,2969,439,"GAS","Martin Van Buren High School (Q435)","Unspecified",57,"N",862,797,4,364,82,0,"2",55,60,0,1964,90,31988,"26",502,63,58,49,0,219,"Q172",72,2,"Brick",1,198,"93.34%",0,3,"0","NO",64,57,"3",6,"P.S. 188 Kingsbury (Q188)",216,"Y",859,NA
"19",2359,458,"32-42 89th St, E Elmhurst NY, 11369","http://www.mlsli.com/homes-for-sale/269-10-Grand-Central-Pky-Floral-Park-NY-11005-189409192","","32-42 89th",NA,"Co-op",582,"11369","Elmhurst",610,265,45,"1",679,2429,644,"GAS","Newtown High School (Q455)","Unspecified",94,"N",1814,1795,36,126,141,3,"0",339,349,1,1975,157,31988,"26",416,353,368,39,0,307,"Q145",140,4,"Brick",1,235,"93.34%",3,33,"0","NO",344,345,"6",33,"P.S. 148 Queens (Q148)",293,"N",1810,NA
"20",2360,NA,"32-43 90st St, E Elmhurst NY, 11369","http://www.mlsli.com/homes-for-sale/32-43-90th-St-E-Elmhurst-NY-11369-172188666","1 Bedroom","32-43 90th",NA,"Co-op",540,"11369","Elmhurst",610,NA,45,"1",679,2429,644,"GAS","Newtown High School (Q455)","Unspecified",94,"N",1814,1795,36,126,141,3,"1",339,349,1,1952,157,38230,"11",301,353,368,40,0,307,"Q145",140,4,"Brick",1,235,"89.84%",3,33,"0","NO",344,345,"6",33,"P.S. 148 Queens (Q148)",293,"N",1810,130000
"21",2461,461,"33-07 91st St, Jackson Heights NY, 11372","http://www.mlsli.com/homes-for-sale/27110-Grand-Central-Pky-Floral-Park-NY-11005-183889071","","33-07 91",NA,"Co-op",494,"11372","Heights",610,310,75,"1",679,2426,644,"OIL","Newtown High School (Q455)","Unspecified",98,"N",1814,1795,36,250,141,3,"0",339,349,1,1975,157,31988,"26",309,353,368,41,0,307,"Q145",140,4,"Brick",1,235,"93.34%",3,33,"1","NO",344,345,"6",33,"P.S. 228 Early Childhood Magnet School of the Arts (Q228), P.S. 149 Christa Mcauliffe (Q149)",293,"N",1810,NA
"22",2500,NA,"92-31 57th Ave, Elmhurst NY, 11373","http://www.mlsli.com/homes-for-sale/92-31-57th-Ave-Elmhurst-NY-11373-181445956","2","92-31 57th",NA,"Co-op",763,"11373","Elmhurst",613,NA,130,"1",585,2104,616,"GAS","Newtown High School (Q455)","Unspecified",97,"N",1620,1502,26,371,106,5,"2",276,286,1,1962,110,52936,"24",423,290,296,46,0,290,"Q077",105,6,"Brick",1,213,"92.21%",5,28,"0","NO",316,299,"5",26,"P.S. 013 Clement C. Moore (Q013)",274,"N",1649,325000
